extension,family
3ds,3d_model
blend,3d_model
dae,3d_model
fbx,3d_model
glb,3d_model
stl,3d_model
usdz,3d_model
7z,archive
bz2,archive
cab,archive
gz,archive
jar,archive
lz,archive
lz4,archive
lzma,archive
rar,archive
tar,archive
xz,archive
z,archive
zip,archive
zst,archive
aac,audio
aif,audio
aiff,audio
alac,audio
ape,audio
flac,audio
m4a,audio
mid,audio
midi,audio
mp3,audio
ogg,audio
opus,audio
wav,audio
wma,audio
dwg,cad
dwf,cad
dxb,cad
step,cad
stp,cad
class,compiled
dll,compiled
o,compiled
pyc,compiled
pyo,compiled
so,compiled
wasm,compiled
accdb,database
db,database
dbf,database
mdb,database
sqlite,database
sqlite3,database
dmg,disk_image
img,disk_image
iso,disk_image
qcow2,disk_image
vdi,disk_image
vhd,disk_image
vmdk,disk_image
doc,document
docx,document
epub,document
mobi,document
odt,document
pages,document
pdf,document
ppt,document
pptx,document
xls,document
xlsx,document
com,executable
exe,executable
msi,executable
bin,firmware
fw,firmware
rom,firmware
eot,font
otf,font
ttc,font
ttf,font
woff,font
woff2,font
gba,game
n64,game
nds,game
nes,game
pak,game
sav,game
sfc,game
smc,game
shp,gis
shx,gis
avif,image
bmp,image
cr2,image
cr3,image
dng,image
gif,image
heic,image
heif,image
ico,image
jfif,image
jp2,image
jpeg,image
jpg,image
jxl,image
nef,image
orf,image
png,image
psd,image
raw,image
tif,image
tiff,image
webp,image
xcf,image
arrow,scientific
avro,scientific
fit,scientific
fits,scientific
hdf5,scientific
mat,scientific
npy,scientific
npz,scientific
parquet,scientific
pcap,scientific
pcapng,scientific
avi,video
flv,video
m4v,video
mkv,video
mov,video
mp4,video
mpeg,video
mpg,video
ogv,video
webm,video
wmv,video
